,City,Unnamed: 0,ID,Date,DateType,Age,Sex,Race,ResidenceCity,ResidenceCounty,ResidenceState,DeathCounty,Location,LocationifOther,DescriptionofInjury,InjuryPlace,InjuryCity,InjuryCounty,InjuryState,COD,OtherSignifican,Heroin,Cocaine,Fentanyl,Oxycodone,Oxymorphone,Ethanol,Hydrocodone,Benzodiazepine,Methadone,Amphetamine,Tramadol,Morphine Not Heroin,Hydromorphone,Other,MannerofDeath,Latitude,Longitude
50,EAST HARTFORD,66,66,66,66,66,66,66,66,56,44,52,66,2,58,65,42,30,14,66,2,32,21,41,5,2,12,3,11,4,1,1,0,0,5,66,41.7634219,-72.6128339
51,EAST HARTLAND,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,41.9988431,-72.9052281
52,EAST HAVEN,27,27,27,27,27,27,27,27,26,25,22,27,1,19,26,23,19,15,27,1,10,8,9,7,1,4,3,13,9,0,0,0,0,2,27,41.2841687,-72.8684565
53,EAST LYME,4,4,4,4,4,4,4,4,3,2,3,4,2,3,4,1,0,0,4,0,4,0,1,1,0,1,0,2,0,0,0,0,0,0,4,41.3531533,-72.2295237
54,EAST WINDSOR,16,16,16,16,16,16,16,16,14,11,13,16,2,15,16,11,9,6,16,0,8,1,8,3,1,2,0,5,0,0,0,0,0,1,16,41.9161361,-72.5578799
55,EAST WOODSTOCK,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,41.984114,-71.9779217
56,EASTFORD,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,0,2,0,0,2,2,0,0,1,0,2,0,0,0,0,0,0,2,41.9020418,-72.0797979
57,EASTON,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,41.27120559999999,-73.2966405
58,ELLINGTON,8,8,8,8,8,8,8,8,6,5,6,8,1,8,8,5,4,1,8,0,4,0,5,0,0,1,0,2,0,1,1,0,0,1,8,41.91728260000001,-72.458236
59,ENFIELD,79,79,79,79,79,79,79,79,65,56,63,79,15,67,79,51,37,26,79,2,38,25,40,9,3,20,2,22,7,1,0,0,0,8,79,42.0027181,-72.5441445
60,ESSEX,8,8,8,8,8,8,8,8,7,3,8,8,0,7,8,2,2,0,8,0,4,2,2,2,1,0,0,1,0,1,1,1,0,2,8,41.3503671,-72.405239
61,FAIRFIELD,13,13,13,13,13,13,13,13,10,9,10,13,1,9,12,8,5,5,13,0,8,1,7,3,0,3,0,5,1,0,0,0,0,0,13,41.1408363,-73.2612615
62,FARMINGTON,21,21,21,21,21,21,21,21,19,15,15,21,0,20,21,14,7,5,21,1,8,5,12,3,1,4,1,8,0,1,1,0,0,4,21,41.7360305,-72.79502699999999
63,FRANKLIN,4,4,4,4,4,4,4,4,3,2,3,4,1,3,4,1,0,0,4,0,2,1,0,1,1,1,1,1,0,0,0,0,0,0,4,41.6090041,-72.1459975
64,GALES FERRY,3,3,3,3,3,3,3,3,3,3,3,3,0,2,3,3,3,1,3,0,2,1,3,0,0,0,1,1,0,1,0,0,0,0,3,41.4281979,-72.084541
65,GLASTONBURY,19,19,19,19,19,19,19,19,17,11,16,19,1,15,18,10,7,5,19,0,11,3,8,2,0,5,1,2,1,0,0,0,0,0,19,41.6861794,-72.5450779
66,GOSHEN,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,41.8315187,-73.2248946
67,GRANBY,2,2,2,2,2,2,2,2,2,1,1,2,0,2,2,1,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,41.9540614,-72.7887705
68,GREENWICH,22,22,22,22,22,22,22,22,19,11,18,22,1,18,22,10,6,5,22,0,9,4,4,2,2,5,1,7,0,1,0,0,0,6,22,41.0262417,-73.6281964
