,month
2541,12
2542,12
2543,2
2544,12
2545,5
2546,4
2547,7
2548,6
2549,6
2550,4
2551,8
2552,7
2553,4
2554,10
2555,6
2556,11
2557,3
2558,5
2559,10
2560,10
2561,8
2562,9
2563,6
2564,10
2565,11
2566,8
2567,10
2568,11
2569,6
2570,2
2571,10
2572,9
2573,6
2574,1
2575,7
2576,11
2577,2
2578,2
2579,1
2580,2
2581,1
2582,3
2583,6
2584,6
2585,3
2586,1
2587,7
2588,9
2589,2
2590,5
2591,2
2592,1
2593,7
2594,12
2595,12
2596,6
2597,6
2598,3
2599,11
2600,9
2601,2
2602,1
2603,12
2604,8
2605,1
2606,2
2607,1
2608,2
2609,11
2610,6
2611,11
2612,2
2613,1
2614,3
2615,6
2616,11
2617,3
2618,1
2619,9
2620,11
2621,11
2622,8
2623,10
2624,3
2625,12
2626,9
2627,1
2628,7
2629,11
2630,1
2631,7
2632,11
2633,7
2634,8
2635,1
2636,5
2637,4
2638,9
2639,1
2640,2
2641,2
2642,10
2643,7
2644,9
2645,2
2646,4
2647,5
2648,7
2649,11
2650,12
2651,9
2652,7
2653,5
2654,5
2655,6
2656,4
2657,7
2658,3
2659,6
2660,12
2661,9
2662,10
2663,11
2664,8
2665,1
2666,1
2667,5
2668,9
2669,9
2670,5
2671,9
2672,5
2673,3
2674,11
2675,8
2676,12
2677,12
2678,8
2679,9
2680,1
2681,7
2682,6
2683,8
2684,7
2685,6
2686,5
2687,9
2688,2
2689,6
2690,7
2691,7
2692,12
2693,7
2694,5
2695,5
2696,10
2697,10
2698,3
2699,1
2700,2
2701,5
2702,3
2703,6
2704,5
2705,10
2706,4
2707,3
2708,9
2709,6
2710,1
2711,8
2712,4
2713,3
2714,5
2715,12
2716,12
2717,2
2718,6
2719,5
2720,3
2721,6
2722,6
2723,6
2724,11
2725,3
2726,7
2727,8
2728,4
2729,8
2730,7
2731,11
2732,4
2733,3
2734,2
2735,1
2736,6
2737,9
2738,12
2739,9
2740,8
2741,12
2742,12
2743,4
2744,4
2745,2
2746,2
2747,8
2748,8
2749,6
2750,12
2751,4
2752,2
2753,9
2754,11
2755,7
2756,6
2757,9
2758,1
2759,5
2760,10
2761,5
2762,3
2763,8
2764,4
2765,1
2766,2
2767,2
2768,9
2769,12
2770,10
2771,3
2772,4
2773,7
2774,8
2775,4
2776,12
2777,9
2778,5
2779,12
2780,11
2781,12
2782,7
2783,6
2784,4
2785,3
2786,6
2787,7
2788,4
2789,8
2790,4
2791,11
2792,9
2793,7
2794,3
2795,3
2796,9
2797,6
2798,9
2799,11
2800,5
2801,5
2802,10
2803,10
2804,8
2805,11
2806,12
2807,3
2808,1
2809,6
2810,2
2811,4
2812,3
2813,8
2814,4
2815,3
2816,10
2817,11
2818,2
2819,2
2820,4
2821,3
2822,8
2823,6
2824,1
2825,5
2826,3
2827,12
2828,1
2829,3
2830,2
2831,6
2832,12
2833,9
2834,8
2835,1
2836,7
2837,9
2838,6
2839,12
2840,10
2841,7
2842,11
2843,8
2844,10
2845,11
2846,11
2847,11
2848,2
2849,4
2850,7
2851,2
2852,1
2853,1
2854,8
2855,12
2856,5
2857,8
2858,12
2859,2
2860,10
2861,7
2862,9
2863,2
2864,6
2865,2
2866,4
2867,7
2868,11
2869,3
2870,4
2871,10
2872,4
2873,6
2874,2
2875,1
2876,11
2877,6
2878,7
2879,4
2880,9
2881,4
2882,7
2883,10
2884,12
2885,6
2886,1
2887,1
2888,5
2889,1
2890,10
2891,2
2892,11
2893,1
2894,11
2895,4
2896,8
2897,1
2898,5
2899,1
2900,2
2901,3
2902,10
2903,7
2904,2
2905,7
2906,12
2907,1
2908,1
2909,4
2910,5
2911,12
2912,9
2913,2
2914,8
2915,4
2916,11
2917,10
2918,5
2919,7
2920,6
2921,8
2922,9
2923,11
2924,11
2925,5
2926,6
2927,5
2928,7
2929,7
2930,12
2931,12
2932,10
2933,1
2934,1
2935,12
2936,1
2937,1
2938,3
2939,12
2940,6
2941,3
2942,12
2943,5
2944,3
2945,7
2946,4
2947,7
2948,9
2949,12
2950,12
2951,4
2952,6
2953,5
2954,10
2955,7
2956,12
2957,1
2958,11
2959,5
2960,10
2961,10
2962,9
2963,2
2964,8
2965,12
2966,2
2967,8
2968,7
2969,9
2970,3
2971,7
2972,5
2973,11
2974,6
2975,11
2976,9
2977,10
2978,8
2979,2
2980,11
2981,5
2982,5
2983,3
2984,7
2985,9
2986,3
2987,2
2988,9
2989,4
2990,2
2991,3
2992,12
2993,3
2994,2
2995,10
